"country_of_residence","cor_iso3","country_of_origin","coo_iso3","election_date","election_type","registered_voters","total_votes","valid_votes","valid_votes2","null_votes","blanco_votes","invalid_votes","votes_party_1","party_party_1","votes_party_2","party_party_2","votes_party_3","party_party_3","votes_party_4","party_party_4","votes_party_5","party_party_5","votes_party_6","party_party_6","votes_party_7","party_party_7","votes_party_8","party_party_8","votes_party_9","party_party_9","votes_party_10","party_party_10","votes_party_11","party_party_11","votes_party_12","party_party_12","votes_party_13","party_party_13","votes_party_14","party_party_14","votes_party_15","party_party_15","votes_party_16","party_party_16","votes_party_17","party_party_17","votes_party_18","party_party_18","votes_party_19","party_party_19","votes_party_20","party_party_20","votes_party_21","party_party_21","votes_party_22","party_party_22","votes_party_23","party_party_23","votes_party_24","party_party_24","votes_party_25","party_party_25","national_winner","votes_national_winner"
"Brazil","BRA","Czechia","CZE",2017-10-20,"Legislative",71,35,35,35,NA,NA,NA,6,"TOP 09",5,"Ceska str.socialne demokrat.",5,"Ceska piratska strana",4,"ANO 2011",4,"Krest.demokr.unie-Cs.str.lid.",2,"Obcanska demokraticka strana",2,"STAROSTOVE A NEZAVISLI",2,"Strana zelenych",2,"REALISTE",2,"Radostne Cesko",1,"Svob.a pr.dem.-T.Okamura (SPD)",0,"Komunisticka str.Cech a Moravy",0,"ROZUMNI-stop migraci,diktat.EU",0,"Strana svobodnych obcanu",0,"Ceska strana narodne socialni",0,"Strana Prav Obcanu",0,"Rad naroda - Vlastenecka unie",0,"Obcanska demokraticka aliance",0,"SPR-Republ.str.Csl. M.Sladka",0,"SPORTOVCI",0,"Referendum o Evropske unii",0,"CESTA ODPOVEDNE SPOLECNOSTI",0,"Blok proti islam.-Obran.domova",0,"Unie H.A.V.E.L.",0,"Dobra volba 2016","ANO 2011",4
"Bulgaria","BGR","Czechia","CZE",2017-10-20,"Legislative",104,68,68,68,NA,NA,NA,15,"Ceska piratska strana",14,"TOP 09",10,"Obcanska demokraticka strana",7,"ANO 2011",7,"Krest.demokr.unie-Cs.str.lid.",5,"STAROSTOVE A NEZAVISLI",3,"Ceska str.socialne demokrat.",3,"Strana zelenych",1,"Strana svobodnych obcanu",1,"Svob.a pr.dem.-T.Okamura (SPD)",1,"SPR-Republ.str.Csl. M.Sladka",1,"Blok proti islam.-Obran.domova",0,"Komunisticka str.Cech a Moravy",0,"ROZUMNI-stop migraci,diktat.EU",0,"REALISTE",0,"Ceska strana narodne socialni",0,"Radostne Cesko",0,"Strana Prav Obcanu",0,"Rad naroda - Vlastenecka unie",0,"Obcanska demokraticka aliance",0,"SPORTOVCI",0,"Referendum o Evropske unii",0,"CESTA ODPOVEDNE SPOLECNOSTI",0,"Unie H.A.V.E.L.",0,"Dobra volba 2016","ANO 2011",7
"Cambodia","KHM","Czechia","CZE",2017-10-20,"Legislative",8,8,8,8,NA,NA,NA,3,"TOP 09",2,"Strana zelenych",2,"Ceska piratska strana",1,"Ceska str.socialne demokrat.",0,"Obcanska demokraticka strana",0,"STAROSTOVE A NEZAVISLI",0,"Komunisticka str.Cech a Moravy",0,"ROZUMNI-stop migraci,diktat.EU",0,"Strana svobodnych obcanu",0,"ANO 2011",0,"Krest.demokr.unie-Cs.str.lid.",0,"REALISTE",0,"Svob.a pr.dem.-T.Okamura (SPD)",0,"Ceska strana narodne socialni",0,"Radostne Cesko",0,"Strana Prav Obcanu",0,"Rad naroda - Vlastenecka unie",0,"Obcanska demokraticka aliance",0,"SPR-Republ.str.Csl. M.Sladka",0,"SPORTOVCI",0,"Referendum o Evropske unii",0,"CESTA ODPOVEDNE SPOLECNOSTI",0,"Blok proti islam.-Obran.domova",0,"Unie H.A.V.E.L.",0,"Dobra volba 2016","ANO 2011",0
"Canada","CAN","Czechia","CZE",2017-10-20,"Legislative",533,126,126,126,NA,NA,NA,32,"TOP 09",24,"Ceska piratska strana",15,"Krest.demokr.unie-Cs.str.lid.",13,"Obcanska demokraticka strana",11,"Svob.a pr.dem.-T.Okamura (SPD)",8,"Strana zelenych",7,"STAROSTOVE A NEZAVISLI",7,"ANO 2011",5,"Ceska str.socialne demokrat.",3,"REALISTE",1,"Strana svobodnych obcanu",0,"Komunisticka str.Cech a Moravy",0,"ROZUMNI-stop migraci,diktat.EU",0,"Ceska strana narodne socialni",0,"Radostne Cesko",0,"Strana Prav Obcanu",0,"Rad naroda - Vlastenecka unie",0,"Obcanska demokraticka aliance",0,"SPR-Republ.str.Csl. M.Sladka",0,"SPORTOVCI",0,"Referendum o Evropske unii",0,"CESTA ODPOVEDNE SPOLECNOSTI",0,"Blok proti islam.-Obran.domova",0,"Unie H.A.V.E.L.",0,"Dobra volba 2016","ANO 2011",7
"Chile","CHL","Czechia","CZE",2017-10-20,"Legislative",39,27,27,27,NA,NA,NA,7,"TOP 09",6,"Obcanska demokraticka strana",6,"Ceska piratska strana",3,"STAROSTOVE A NEZAVISLI",1,"Ceska str.socialne demokrat.",1,"Strana zelenych",1,"Strana svobodnych obcanu",1,"ANO 2011",1,"Svob.a pr.dem.-T.Okamura (SPD)",0,"Komunisticka str.Cech a Moravy",0,"ROZUMNI-stop migraci,diktat.EU",0,"Krest.demokr.unie-Cs.str.lid.",0,"REALISTE",0,"Ceska strana narodne socialni",0,"Radostne Cesko",0,"Strana Prav Obcanu",0,"Rad naroda - Vlastenecka unie",0,"Obcanska demokraticka aliance",0,"SPR-Republ.str.Csl. M.Sladka",0,"SPORTOVCI",0,"Referendum o Evropske unii",0,"CESTA ODPOVEDNE SPOLECNOSTI",0,"Blok proti islam.-Obran.domova",0,"Unie H.A.V.E.L.",0,"Dobra volba 2016","ANO 2011",1
"China","CHN","Czechia","CZE",2017-10-20,"Legislative",356,278,278,278,NA,NA,NA,70,"Ceska piratska strana",56,"TOP 09",51,"Obcanska demokraticka strana",24,"STAROSTOVE A NEZAVISLI",21,"ANO 2011",15,"Krest.demokr.unie-Cs.str.lid.",13,"Svob.a pr.dem.-T.Okamura (SPD)",10,"Ceska str.socialne demokrat.",8,"Strana svobodnych obcanu",5,"Strana zelenych",2,"Komunisticka str.Cech a Moravy",2,"REALISTE",1,"Referendum o Evropske unii",0,"ROZUMNI-stop migraci,diktat.EU",0,"Ceska strana narodne socialni",0,"Radostne Cesko",0,"Strana Prav Obcanu",0,"Rad naroda - Vlastenecka unie",0,"Obcanska demokraticka aliance",0,"SPR-Republ.str.Csl. M.Sladka",0,"SPORTOVCI",0,"CESTA ODPOVEDNE SPOLECNOSTI",0,"Blok proti islam.-Obran.domova",0,"Unie H.A.V.E.L.",0,"Dobra volba 2016","ANO 2011",21
"Colombia","COL","Czechia","CZE",2017-10-20,"Legislative",42,21,21,21,NA,NA,NA,5,"Ceska piratska strana",5,"ANO 2011",4,"TOP 09",3,"Obcanska demokraticka strana",2,"Krest.demokr.unie-Cs.str.lid.",1,"STAROSTOVE A NEZAVISLI",1,"Strana svobodnych obcanu",0,"Ceska str.socialne demokrat.",0,"Komunisticka str.Cech a Moravy",0,"Strana zelenych",0,"ROZUMNI-stop migraci,diktat.EU",0,"REALISTE",0,"Svob.a pr.dem.-T.Okamura (SPD)",0,"Ceska strana narodne socialni",0,"Radostne Cesko",0,"Strana Prav Obcanu",0,"Rad naroda - Vlastenecka unie",0,"Obcanska demokraticka aliance",0,"SPR-Republ.str.Csl. M.Sladka",0,"SPORTOVCI",0,"Referendum o Evropske unii",0,"CESTA ODPOVEDNE SPOLECNOSTI",0,"Blok proti islam.-Obran.domova",0,"Unie H.A.V.E.L.",0,"Dobra volba 2016","ANO 2011",5
"Croatia","HRV","Czechia","CZE",2017-10-20,"Legislative",63,56,56,56,NA,NA,NA,17,"TOP 09",14,"Obcanska demokraticka strana",10,"Ceska piratska strana",5,"Ceska str.socialne demokrat.",3,"ANO 2011",2,"STAROSTOVE A NEZAVISLI",2,"Strana zelenych",2,"Krest.demokr.unie-Cs.str.lid.",1,"Komunisticka str.Cech a Moravy",0,"ROZUMNI-stop migraci,diktat.EU",0,"Strana svobodnych obcanu",0,"REALISTE",0,"Svob.a pr.dem.-T.Okamura (SPD)",0,"Ceska strana narodne socialni",0,"Radostne Cesko",0,"Strana Prav Obcanu",0,"Rad naroda - Vlastenecka unie",0,"Obcanska demokraticka aliance",0,"SPR-Republ.str.Csl. M.Sladka",0,"SPORTOVCI",0,"Referendum o Evropske unii",0,"CESTA ODPOVEDNE SPOLECNOSTI",0,"Blok proti islam.-Obran.domova",0,"Unie H.A.V.E.L.",0,"Dobra volba 2016","ANO 2011",3
"Cuba","CUB","Czechia","CZE",2017-10-20,"Legislative",110,47,47,47,NA,NA,NA,13,"TOP 09",12,"Ceska piratska strana",10,"Obcanska demokraticka strana",4,"ANO 2011",3,"STAROSTOVE A NEZAVISLI",2,"Komunisticka str.Cech a Moravy",2,"Strana zelenych",1,"Strana Prav Obcanu",0,"Ceska str.socialne demokrat.",0,"ROZUMNI-stop migraci,diktat.EU",0,"Strana svobodnych obcanu",0,"Krest.demokr.unie-Cs.str.lid.",0,"REALISTE",0,"Svob.a pr.dem.-T.Okamura (SPD)",0,"Ceska strana narodne socialni",0,"Radostne Cesko",0,"Rad naroda - Vlastenecka unie",0,"Obcanska demokraticka aliance",0,"SPR-Republ.str.Csl. M.Sladka",0,"SPORTOVCI",0,"Referendum o Evropske unii",0,"CESTA ODPOVEDNE SPOLECNOSTI",0,"Blok proti islam.-Obran.domova",0,"Unie H.A.V.E.L.",0,"Dobra volba 2016","ANO 2011",4
"Cyprus","CYP","Czechia","CZE",2017-10-20,"Legislative",83,59,59,59,NA,NA,NA,18,"Obcanska demokraticka strana",16,"Ceska piratska strana",13,"TOP 09",4,"Svob.a pr.dem.-T.Okamura (SPD)",2,"ANO 2011",2,"Krest.demokr.unie-Cs.str.lid.",1,"Ceska str.socialne demokrat.",1,"Komunisticka str.Cech a Moravy",1,"Strana zelenych",1,"Obcanska demokraticka aliance",0,"STAROSTOVE A NEZAVISLI",0,"ROZUMNI-stop migraci,diktat.EU",0,"Strana svobodnych obcanu",0,"REALISTE",0,"Ceska strana narodne socialni",0,"Radostne Cesko",0,"Strana Prav Obcanu",0,"Rad naroda - Vlastenecka unie",0,"SPR-Republ.str.Csl. M.Sladka",0,"SPORTOVCI",0,"Referendum o Evropske unii",0,"CESTA ODPOVEDNE SPOLECNOSTI",0,"Blok proti islam.-Obran.domova",0,"Unie H.A.V.E.L.",0,"Dobra volba 2016","ANO 2011",2
"Denmark","DNK","Czechia","CZE",2017-10-20,"Legislative",240,151,151,151,NA,NA,NA,52,"Ceska piratska strana",35,"TOP 09",13,"Obcanska demokraticka strana",12,"STAROSTOVE A NEZAVISLI",11,"Strana zelenych",9,"ANO 2011",6,"Krest.demokr.unie-Cs.str.lid.",5,"REALISTE",3,"Ceska str.socialne demokrat.",2,"Strana svobodnych obcanu",1,"Komunisticka str.Cech a Moravy",1,"Svob.a pr.dem.-T.Okamura (SPD)",1,"Rad naroda - Vlastenecka unie",0,"ROZUMNI-stop migraci,diktat.EU",0,"Ceska strana narodne socialni",0,"Radostne Cesko",0,"Strana Prav Obcanu",0,"Obcanska demokraticka aliance",0,"SPR-Republ.str.Csl. M.Sladka",0,"SPORTOVCI",0,"Referendum o Evropske unii",0,"CESTA ODPOVEDNE SPOLECNOSTI",0,"Blok proti islam.-Obran.domova",0,"Unie H.A.V.E.L.",0,"Dobra volba 2016","ANO 2011",9
"Egypt","EGY","Czechia","CZE",2017-10-20,"Legislative",63,46,46,46,NA,NA,NA,9,"ANO 2011",8,"Ceska str.socialne demokrat.",7,"Obcanska demokraticka strana",4,"TOP 09",4,"Krest.demokr.unie-Cs.str.lid.",3,"Komunisticka str.Cech a Moravy",3,"Ceska piratska strana",2,"STAROSTOVE A NEZAVISLI",2,"Strana zelenych",1,"ROZUMNI-stop migraci,diktat.EU",1,"Strana svobodnych obcanu",1,"REALISTE",1,"Svob.a pr.dem.-T.Okamura (SPD)",0,"Ceska strana narodne socialni",0,"Radostne Cesko",0,"Strana Prav Obcanu",0,"Rad naroda - Vlastenecka unie",0,"Obcanska demokraticka aliance",0,"SPR-Republ.str.Csl. M.Sladka",0,"SPORTOVCI",0,"Referendum o Evropske unii",0,"CESTA ODPOVEDNE SPOLECNOSTI",0,"Blok proti islam.-Obran.domova",0,"Unie H.A.V.E.L.",0,"Dobra volba 2016","ANO 2011",9
"Estonia","EST","Czechia","CZE",2017-10-20,"Legislative",41,36,36,36,NA,NA,NA,11,"Ceska piratska strana",8,"TOP 09",6,"Krest.demokr.unie-Cs.str.lid.",3,"Ceska str.socialne demokrat.",2,"Obcanska demokraticka strana",2,"STAROSTOVE A NEZAVISLI",1,"Komunisticka str.Cech a Moravy",1,"Strana zelenych",1,"ANO 2011",1,"Svob.a pr.dem.-T.Okamura (SPD)",0,"ROZUMNI-stop migraci,diktat.EU",0,"Strana svobodnych obcanu",0,"REALISTE",0,"Ceska strana narodne socialni",0,"Radostne Cesko",0,"Strana Prav Obcanu",0,"Rad naroda - Vlastenecka unie",0,"Obcanska demokraticka aliance",0,"SPR-Republ.str.Csl. M.Sladka",0,"SPORTOVCI",0,"Referendum o Evropske unii",0,"CESTA ODPOVEDNE SPOLECNOSTI",0,"Blok proti islam.-Obran.domova",0,"Unie H.A.V.E.L.",0,"Dobra volba 2016","ANO 2011",1
"Ethiopia","ETH","Czechia","CZE",2017-10-20,"Legislative",18,12,12,12,NA,NA,NA,8,"TOP 09",1,"Ceska str.socialne demokrat.",1,"STAROSTOVE A NEZAVISLI",1,"Strana zelenych",1,"ANO 2011",0,"Obcanska demokraticka strana",0,"Komunisticka str.Cech a Moravy",0,"ROZUMNI-stop migraci,diktat.EU",0,"Strana svobodnych obcanu",0,"Ceska piratska strana",0,"Krest.demokr.unie-Cs.str.lid.",0,"REALISTE",0,"Svob.a pr.dem.-T.Okamura (SPD)",0,"Ceska strana narodne socialni",0,"Radostne Cesko",0,"Strana Prav Obcanu",0,"Rad naroda - Vlastenecka unie",0,"Obcanska demokraticka aliance",0,"SPR-Republ.str.Csl. M.Sladka",0,"SPORTOVCI",0,"Referendum o Evropske unii",0,"CESTA ODPOVEDNE SPOLECNOSTI",0,"Blok proti islam.-Obran.domova",0,"Unie H.A.V.E.L.",0,"Dobra volba 2016","ANO 2011",1
"Finland","FIN","Czechia","CZE",2017-10-20,"Legislative",156,122,122,122,NA,NA,NA,38,"Ceska piratska strana",26,"TOP 09",17,"STAROSTOVE A NEZAVISLI",16,"Strana zelenych",6,"Obcanska demokraticka strana",6,"ANO 2011",4,"Strana svobodnych obcanu",3,"Krest.demokr.unie-Cs.str.lid.",3,"Svob.a pr.dem.-T.Okamura (SPD)",2,"REALISTE",1,"Ceska str.socialne demokrat.",0,"Komunisticka str.Cech a Moravy",0,"ROZUMNI-stop migraci,diktat.EU",0,"Ceska strana narodne socialni",0,"Radostne Cesko",0,"Strana Prav Obcanu",0,"Rad naroda - Vlastenecka unie",0,"Obcanska demokraticka aliance",0,"SPR-Republ.str.Csl. M.Sladka",0,"SPORTOVCI",0,"Referendum o Evropske unii",0,"CESTA ODPOVEDNE SPOLECNOSTI",0,"Blok proti islam.-Obran.domova",0,"Unie H.A.V.E.L.",0,"Dobra volba 2016","ANO 2011",6
"France","FRA","Czechia","CZE",2017-10-20,"Legislative",639,390,382,382,NA,NA,NA,113,"TOP 09",88,"Ceska piratska strana",35,"Obcanska demokraticka strana",34,"Krest.demokr.unie-Cs.str.lid.",33,"Strana zelenych",24,"STAROSTOVE A NEZAVISLI",17,"ANO 2011",15,"Ceska str.socialne demokrat.",10,"Svob.a pr.dem.-T.Okamura (SPD)",5,"Strana svobodnych obcanu",3,"Komunisticka str.Cech a Moravy",2,"REALISTE",1,"Strana Prav Obcanu",1,"SPORTOVCI",1,"Blok proti islam.-Obran.domova",0,"ROZUMNI-stop migraci,diktat.EU",0,"Ceska strana narodne socialni",0,"Radostne Cesko",0,"Rad naroda - Vlastenecka unie",0,"Obcanska demokraticka aliance",0,"SPR-Republ.str.Csl. M.Sladka",0,"Referendum o Evropske unii",0,"CESTA ODPOVEDNE SPOLECNOSTI",0,"Unie H.A.V.E.L.",0,"Dobra volba 2016","ANO 2011",17
"Georgia","GEO","Czechia","CZE",2017-10-20,"Legislative",57,49,49,49,NA,NA,NA,14,"TOP 09",10,"Strana zelenych",4,"Obcanska demokraticka strana",4,"STAROSTOVE A NEZAVISLI",4,"Ceska piratska strana",4,"ANO 2011",4,"Krest.demokr.unie-Cs.str.lid.",3,"Svob.a pr.dem.-T.Okamura (SPD)",2,"REALISTE",0,"Ceska str.socialne demokrat.",0,"Komunisticka str.Cech a Moravy",0,"ROZUMNI-stop migraci,diktat.EU",0,"Strana svobodnych obcanu",0,"Ceska strana narodne socialni",0,"Radostne Cesko",0,"Strana Prav Obcanu",0,"Rad naroda - Vlastenecka unie",0,"Obcanska demokraticka aliance",0,"SPR-Republ.str.Csl. M.Sladka",0,"SPORTOVCI",0,"Referendum o Evropske unii",0,"CESTA ODPOVEDNE SPOLECNOSTI",0,"Blok proti islam.-Obran.domova",0,"Unie H.A.V.E.L.",0,"Dobra volba 2016","ANO 2011",4
