"country","country_of_origin","election_date","election_type","registered_voters","total_votes","valid_votes","null_votes","blanco_votes","invalid_votes","votes_party_1","party_party_1","votes_party_2","party_party_2","votes_party_3","party_party_3","votes_party_4","party_party_4","votes_party_5","party_party_5","votes_party_6","party_party_6","votes_party_7","party_party_7","votes_party_8","party_party_8","votes_party_9","party_party_9","votes_party_10","party_party_10","votes_party_11","party_party_11","votes_party_12","party_party_12","votes_party_13","party_party_13","votes_party_14","party_party_14","votes_party_15","party_party_15","votes_party_16","party_party_16","votes_party_17","party_party_17","votes_party_18","party_party_18","votes_party_19","party_party_19","votes_party_20","party_party_20","votes_party_21","party_party_21","votes_party_22","party_party_22","votes_party_23","party_party_23","votes_party_24","party_party_24","votes_party_25","party_party_25","votes_party_26","party_party_26","votes_party_27","party_party_27","votes_party_28","party_party_28","votes_party_29","party_party_29","votes_party_30","party_party_30","votes_party_31","party_party_31","votes_party_32","party_party_32","votes_party_33","party_party_33","votes_party_34","party_party_34","votes_party_35","party_party_35","votes_party_36","party_party_36","votes_party_37","party_party_37","votes_party_38","party_party_38","votes_party_39","party_party_39","votes_party_40","party_party_40","votes_party_41","party_party_41","votes_party_42","party_party_42","votes_party_43","party_party_43","votes_party_44","party_party_44","votes_party_45","party_party_45","national_winner","votes_national_winner"
"Azerbaijan","Ukraine",2006-03-26,"Legislative",142,102,101,1,NA,NA,59,"Block OUR UKRAINE",25,"Party of Regions",8,"Yulia Tymoshenko Bloc",4,"Socialist Party of Ukraine",1,"Communist Party of Ukraine",1,"People's Movement of Ukraine for Unity",1,"Renaissance Party",1,"Lytvyn People's Bloc",1,"The opposition bloc is NOT YES!",0,"All-Ukrainian Party of People's Trust",0,"Ukrainian People's Bloc of Kostenko and Ivy",0,"Ukrainian National Assembly",0,"Political party Party of ecological rescue ECO + 25%",0,"Ukrainian Green Planet Party",0,"NDP block",0,"Political Party of Ukraine Putin's Politics Party",0,"Viche Party",0,"Ukrainian Conservative Party",0,"Ukrainian Party of Honor, Fight against Corruption and Organized Crime",0,"Yuri Karmazin's block",0,"All-Ukrainian Party New Power",0,"Electoral bloc of political parties FOR THE UNION",0,"Peasant Party of Ukraine",0,"Civil bloc PORA-PRP",0,"Party of Patriotic Forces of Ukraine",0,"Electoral bloc Yevhen Marchuk - Unity",0,"Party of National and Economic Development of Ukraine",0,"Electoral bloc State - Labor Union ",0,"Bloc of Non-Party Sun ",0,"All-Ukrainian Association Freedom",0,"Social Christian Party",0,"Liberal Party of Ukraine",0,"European Capital Political Party",0,"Social Protection Party",0,"Bloc of Natalia Vitrenko People's Opposition",0,"Third Force Political Party",0,"Green Party of Ukraine",0,"Lazarenko Bloc",0,"Electoral bloc People's Power",0,"Bloc Patriots of Ukraine",0,"Bloc of Boris Oliynyk and Mykhailo Syrota",0,"Political party Forward, Ukraine!",0,"Socio-ecological party Union. Chernobyl. Ukraine.",0,"Party of Pensioners of Ukraine",0,"Labor Ukraine Political Party","Party of Regions",25
"Belarus","Ukraine",2006-03-26,"Legislative",8864,680,667,5,NA,NA,290,"Party of Regions",105,"Block OUR UKRAINE",92,"Yulia Tymoshenko Bloc",31,"Bloc of Natalia Vitrenko People's Opposition",20,"Socialist Party of Ukraine",20,"Lytvyn People's Bloc",18,"Communist Party of Ukraine",11,"Civil bloc PORA-PRP",8,"Ukrainian Party of Honor, Fight against Corruption and Organized Crime",6,"Ukrainian People's Bloc of Kostenko and Ivy",6,"Political Party of Ukraine Putin's Politics Party",6,"Renaissance Party",6,"Electoral bloc of political parties FOR THE UNION",4,"NDP block",4,"Viche Party",4,"Electoral bloc People's Power",4,"The opposition bloc is NOT YES!",3,"Ukrainian Green Planet Party",3,"Peasant Party of Ukraine",3,"Electoral bloc Yevhen Marchuk - Unity",3,"Green Party of Ukraine",2,"People's Movement of Ukraine for Unity",2,"Party of National and Economic Development of Ukraine",2,"Social Christian Party",2,"Bloc of Boris Oliynyk and Mykhailo Syrota",2,"Socio-ecological party Union. Chernobyl. Ukraine.",2,"Party of Pensioners of Ukraine",1,"Ukrainian National Assembly",1,"Yuri Karmazin's block",1,"Party of Patriotic Forces of Ukraine",1,"All-Ukrainian Association Freedom",1,"Liberal Party of Ukraine",1,"Third Force Political Party",1,"Lazarenko Bloc",1,"Political party Forward, Ukraine!",0,"All-Ukrainian Party of People's Trust",0,"Political party Party of ecological rescue ECO + 25%",0,"Ukrainian Conservative Party",0,"All-Ukrainian Party New Power",0,"Electoral bloc State - Labor Union ",0,"Bloc of Non-Party Sun ",0,"European Capital Political Party",0,"Social Protection Party",0,"Bloc Patriots of Ukraine",0,"Labor Ukraine Political Party","Party of Regions",290
"Bulgaria","Ukraine",2006-03-26,"Legislative",1650,364,348,15,NA,NA,134,"Party of Regions",53,"Block OUR UKRAINE",51,"Yulia Tymoshenko Bloc",25,"Lytvyn People's Bloc",12,"Socialist Party of Ukraine",8,"Ukrainian Green Planet Party",7,"NDP block",7,"Viche Party",6,"Civil bloc PORA-PRP",5,"Renaissance Party",5,"The opposition bloc is NOT YES!",3,"Political Party of Ukraine Putin's Politics Party",3,"Ukrainian Party of Honor, Fight against Corruption and Organized Crime",3,"Bloc of Natalia Vitrenko People's Opposition",3,"Party of Pensioners of Ukraine",2,"All-Ukrainian Party of People's Trust",2,"Ukrainian People's Bloc of Kostenko and Ivy",2,"Bloc of Non-Party Sun ",2,"Social Christian Party",2,"Green Party of Ukraine",2,"Bloc of Boris Oliynyk and Mykhailo Syrota",2,"Political party Forward, Ukraine!",1,"Communist Party of Ukraine",1,"People's Movement of Ukraine for Unity",1,"Yuri Karmazin's block",1,"Electoral bloc of political parties FOR THE UNION",1,"Peasant Party of Ukraine",1,"All-Ukrainian Association Freedom",1,"Lazarenko Bloc",1,"Electoral bloc People's Power",1,"Labor Ukraine Political Party",0,"Ukrainian National Assembly",0,"Political party Party of ecological rescue ECO + 25%",0,"Ukrainian Conservative Party",0,"All-Ukrainian Party New Power",0,"Party of Patriotic Forces of Ukraine",0,"Electoral bloc Yevhen Marchuk - Unity",0,"Party of National and Economic Development of Ukraine",0,"Electoral bloc State - Labor Union ",0,"Liberal Party of Ukraine",0,"European Capital Political Party",0,"Social Protection Party",0,"Third Force Political Party",0,"Bloc Patriots of Ukraine",0,"Socio-ecological party Union. Chernobyl. Ukraine.","Party of Regions",134
"Croatia","Ukraine",2006-03-26,"Legislative",208,73,72,1,NA,NA,28,"Block OUR UKRAINE",13,"Yulia Tymoshenko Bloc",10,"Party of Regions",6,"Civil bloc PORA-PRP",5,"Socialist Party of Ukraine",2,"Communist Party of Ukraine",2,"All-Ukrainian Association Freedom",2,"Lytvyn People's Bloc",1,"Ukrainian Party of Honor, Fight against Corruption and Organized Crime",1,"Renaissance Party",1,"Social Christian Party",1,"Bloc of Natalia Vitrenko People's Opposition",0,"All-Ukrainian Party of People's Trust",0,"Ukrainian People's Bloc of Kostenko and Ivy",0,"Ukrainian National Assembly",0,"Political party Party of ecological rescue ECO + 25%",0,"Ukrainian Green Planet Party",0,"NDP block",0,"Political Party of Ukraine Putin's Politics Party",0,"Viche Party",0,"Ukrainian Conservative Party",0,"People's Movement of Ukraine for Unity",0,"Yuri Karmazin's block",0,"All-Ukrainian Party New Power",0,"Electoral bloc of political parties FOR THE UNION",0,"Peasant Party of Ukraine",0,"Party of Patriotic Forces of Ukraine",0,"Electoral bloc Yevhen Marchuk - Unity",0,"Party of National and Economic Development of Ukraine",0,"Electoral bloc State - Labor Union ",0,"Bloc of Non-Party Sun ",0,"Liberal Party of Ukraine",0,"European Capital Political Party",0,"Social Protection Party",0,"Third Force Political Party",0,"Green Party of Ukraine",0,"Lazarenko Bloc",0,"Electoral bloc People's Power",0,"Bloc Patriots of Ukraine",0,"Bloc of Boris Oliynyk and Mykhailo Syrota",0,"Political party Forward, Ukraine!",0,"Socio-ecological party Union. Chernobyl. Ukraine.",0,"Party of Pensioners of Ukraine",0,"The opposition bloc is NOT YES!",0,"Labor Ukraine Political Party","Party of Regions",10
"Cuba","Ukraine",2006-03-26,"Legislative",428,126,121,5,NA,NA,30,"Yulia Tymoshenko Bloc",17,"Party of Regions",11,"Block OUR UKRAINE",7,"Socio-ecological party Union. Chernobyl. Ukraine.",6,"Communist Party of Ukraine",6,"Socialist Party of Ukraine",4,"Ukrainian Green Planet Party",4,"Electoral bloc People's Power",4,"Lytvyn People's Bloc",3,"Electoral bloc of political parties FOR THE UNION",3,"Party of National and Economic Development of Ukraine",3,"Party of Pensioners of Ukraine",2,"Political party Party of ecological rescue ECO + 25%",2,"Social Protection Party",2,"Bloc of Natalia Vitrenko People's Opposition",2,"Green Party of Ukraine",2,"Political party Forward, Ukraine!",2,"The opposition bloc is NOT YES!",1,"All-Ukrainian Party of People's Trust",1,"Ukrainian People's Bloc of Kostenko and Ivy",1,"People's Movement of Ukraine for Unity",1,"All-Ukrainian Party New Power",1,"Renaissance Party",1,"Peasant Party of Ukraine",1,"Civil bloc PORA-PRP",1,"Party of Patriotic Forces of Ukraine",1,"All-Ukrainian Association Freedom",1,"Social Christian Party",1,"Third Force Political Party",0,"Ukrainian National Assembly",0,"NDP block",0,"Political Party of Ukraine Putin's Politics Party",0,"Viche Party",0,"Ukrainian Conservative Party",0,"Ukrainian Party of Honor, Fight against Corruption and Organized Crime",0,"Yuri Karmazin's block",0,"Electoral bloc Yevhen Marchuk - Unity",0,"Electoral bloc State - Labor Union ",0,"Bloc of Non-Party Sun ",0,"Liberal Party of Ukraine",0,"European Capital Political Party",0,"Lazarenko Bloc",0,"Bloc Patriots of Ukraine",0,"Bloc of Boris Oliynyk and Mykhailo Syrota",0,"Labor Ukraine Political Party","Party of Regions",17
"Cyprus","Ukraine",2006-03-26,"Legislative",388,100,97,2,NA,NA,38,"Party of Regions",19,"Yulia Tymoshenko Bloc",17,"Block OUR UKRAINE",8,"Socialist Party of Ukraine",7,"Bloc of Natalia Vitrenko People's Opposition",1,"Political party Party of ecological rescue ECO + 25%",1,"NDP block",1,"Political Party of Ukraine Putin's Politics Party",1,"Communist Party of Ukraine",1,"Party of Patriotic Forces of Ukraine",1,"Green Party of Ukraine",1,"Lytvyn People's Bloc",1,"The opposition bloc is NOT YES!",0,"All-Ukrainian Party of People's Trust",0,"Ukrainian People's Bloc of Kostenko and Ivy",0,"Ukrainian National Assembly",0,"Ukrainian Green Planet Party",0,"Viche Party",0,"Ukrainian Conservative Party",0,"People's Movement of Ukraine for Unity",0,"Ukrainian Party of Honor, Fight against Corruption and Organized Crime",0,"Yuri Karmazin's block",0,"All-Ukrainian Party New Power",0,"Renaissance Party",0,"Electoral bloc of political parties FOR THE UNION",0,"Peasant Party of Ukraine",0,"Civil bloc PORA-PRP",0,"Electoral bloc Yevhen Marchuk - Unity",0,"Party of National and Economic Development of Ukraine",0,"Electoral bloc State - Labor Union ",0,"Bloc of Non-Party Sun ",0,"All-Ukrainian Association Freedom",0,"Social Christian Party",0,"Liberal Party of Ukraine",0,"European Capital Political Party",0,"Social Protection Party",0,"Third Force Political Party",0,"Lazarenko Bloc",0,"Electoral bloc People's Power",0,"Bloc Patriots of Ukraine",0,"Bloc of Boris Oliynyk and Mykhailo Syrota",0,"Political party Forward, Ukraine!",0,"Socio-ecological party Union. Chernobyl. Ukraine.",0,"Party of Pensioners of Ukraine",0,"Labor Ukraine Political Party","Party of Regions",38
"Estonia","Ukraine",2006-03-26,"Legislative",3665,1065,1052,13,NA,NA,708,"Party of Regions",101,"Block OUR UKRAINE",64,"Yulia Tymoshenko Bloc",25,"Bloc of Natalia Vitrenko People's Opposition",19,"Lytvyn People's Bloc",18,"Communist Party of Ukraine",15,"Civil bloc PORA-PRP",12,"Socialist Party of Ukraine",9,"Party of Pensioners of Ukraine",8,"Political Party of Ukraine Putin's Politics Party",6,"The opposition bloc is NOT YES!",5,"People's Movement of Ukraine for Unity",5,"Peasant Party of Ukraine",5,"Green Party of Ukraine",4,"All-Ukrainian Party of People's Trust",4,"Ukrainian People's Bloc of Kostenko and Ivy",4,"NDP block",4,"Ukrainian Party of Honor, Fight against Corruption and Organized Crime",4,"Electoral bloc People's Power",3,"Ukrainian Green Planet Party",3,"Party of Patriotic Forces of Ukraine",3,"Electoral bloc State - Labor Union ",3,"Labor Ukraine Political Party",2,"Ukrainian Conservative Party",2,"All-Ukrainian Association Freedom",2,"Social Protection Party",2,"Lazarenko Bloc",2,"Political party Forward, Ukraine!",2,"Socio-ecological party Union. Chernobyl. Ukraine.",1,"Viche Party",1,"Yuri Karmazin's block",1,"Renaissance Party",1,"Electoral bloc Yevhen Marchuk - Unity",1,"Party of National and Economic Development of Ukraine",1,"Social Christian Party",1,"Third Force Political Party",1,"Bloc of Boris Oliynyk and Mykhailo Syrota",0,"Ukrainian National Assembly",0,"Political party Party of ecological rescue ECO + 25%",0,"All-Ukrainian Party New Power",0,"Electoral bloc of political parties FOR THE UNION",0,"Bloc of Non-Party Sun ",0,"Liberal Party of Ukraine",0,"European Capital Political Party",0,"Bloc Patriots of Ukraine","Party of Regions",708
"Finland","Ukraine",2006-03-26,"Legislative",771,147,142,4,NA,NA,46,"Block OUR UKRAINE",39,"Party of Regions",19,"Yulia Tymoshenko Bloc",9,"Bloc of Natalia Vitrenko People's Opposition",7,"Civil bloc PORA-PRP",6,"Socialist Party of Ukraine",4,"Lytvyn People's Bloc",3,"Viche Party",3,"The opposition bloc is NOT YES!",1,"Ukrainian People's Bloc of Kostenko and Ivy",1,"Communist Party of Ukraine",1,"People's Movement of Ukraine for Unity",1,"Party of Patriotic Forces of Ukraine",1,"Green Party of Ukraine",1,"Party of Pensioners of Ukraine",0,"All-Ukrainian Party of People's Trust",0,"Ukrainian National Assembly",0,"Political party Party of ecological rescue ECO + 25%",0,"Ukrainian Green Planet Party",0,"NDP block",0,"Political Party of Ukraine Putin's Politics Party",0,"Ukrainian Conservative Party",0,"Ukrainian Party of Honor, Fight against Corruption and Organized Crime",0,"Yuri Karmazin's block",0,"All-Ukrainian Party New Power",0,"Renaissance Party",0,"Electoral bloc of political parties FOR THE UNION",0,"Peasant Party of Ukraine",0,"Electoral bloc Yevhen Marchuk - Unity",0,"Party of National and Economic Development of Ukraine",0,"Electoral bloc State - Labor Union ",0,"Bloc of Non-Party Sun ",0,"All-Ukrainian Association Freedom",0,"Social Christian Party",0,"Liberal Party of Ukraine",0,"European Capital Political Party",0,"Social Protection Party",0,"Third Force Political Party",0,"Lazarenko Bloc",0,"Electoral bloc People's Power",0,"Bloc Patriots of Ukraine",0,"Bloc of Boris Oliynyk and Mykhailo Syrota",0,"Political party Forward, Ukraine!",0,"Socio-ecological party Union. Chernobyl. Ukraine.",0,"Labor Ukraine Political Party","Party of Regions",39
"Guinea","Ukraine",2006-03-26,"Legislative",130,95,95,0,NA,NA,42,"Party of Regions",21,"Yulia Tymoshenko Bloc",11,"Block OUR UKRAINE",6,"Lytvyn People's Bloc",3,"Bloc of Natalia Vitrenko People's Opposition",2,"People's Movement of Ukraine for Unity",2,"Socialist Party of Ukraine",2,"The opposition bloc is NOT YES!",1,"Ukrainian Party of Honor, Fight against Corruption and Organized Crime",1,"Electoral bloc of political parties FOR THE UNION",1,"Peasant Party of Ukraine",1,"Party of National and Economic Development of Ukraine",1,"Social Christian Party",1,"Social Protection Party",0,"All-Ukrainian Party of People's Trust",0,"Ukrainian People's Bloc of Kostenko and Ivy",0,"Ukrainian National Assembly",0,"Political party Party of ecological rescue ECO + 25%",0,"Ukrainian Green Planet Party",0,"NDP block",0,"Political Party of Ukraine Putin's Politics Party",0,"Communist Party of Ukraine",0,"Viche Party",0,"Ukrainian Conservative Party",0,"Yuri Karmazin's block",0,"All-Ukrainian Party New Power",0,"Renaissance Party",0,"Civil bloc PORA-PRP",0,"Party of Patriotic Forces of Ukraine",0,"Electoral bloc Yevhen Marchuk - Unity",0,"Electoral bloc State - Labor Union ",0,"Bloc of Non-Party Sun ",0,"All-Ukrainian Association Freedom",0,"Liberal Party of Ukraine",0,"European Capital Political Party",0,"Third Force Political Party",0,"Green Party of Ukraine",0,"Lazarenko Bloc",0,"Electoral bloc People's Power",0,"Bloc Patriots of Ukraine",0,"Bloc of Boris Oliynyk and Mykhailo Syrota",0,"Political party Forward, Ukraine!",0,"Socio-ecological party Union. Chernobyl. Ukraine.",0,"Party of Pensioners of Ukraine",0,"Labor Ukraine Political Party","Party of Regions",42
"Hungary","Ukraine",2006-03-26,"Legislative",6012,559,531,19,NA,NA,176,"Block OUR UKRAINE",111,"Yulia Tymoshenko Bloc",90,"Party of Regions",33,"Civil bloc PORA-PRP",17,"Socialist Party of Ukraine",14,"Lytvyn People's Bloc",11,"Viche Party",10,"Ukrainian Green Planet Party",8,"Renaissance Party",6,"Ukrainian People's Bloc of Kostenko and Ivy",5,"Green Party of Ukraine",5,"The opposition bloc is NOT YES!",4,"Political party Party of ecological rescue ECO + 25%",4,"NDP block",4,"Ukrainian Party of Honor, Fight against Corruption and Organized Crime",4,"Bloc of Natalia Vitrenko People's Opposition",3,"Communist Party of Ukraine",3,"European Capital Political Party",3,"Electoral bloc People's Power",2,"Yuri Karmazin's block",2,"Peasant Party of Ukraine",2,"Electoral bloc State - Labor Union ",2,"Social Protection Party",2,"Party of Pensioners of Ukraine",1,"All-Ukrainian Party of People's Trust",1,"Ukrainian National Assembly",1,"Political Party of Ukraine Putin's Politics Party",1,"Ukrainian Conservative Party",1,"People's Movement of Ukraine for Unity",1,"Social Christian Party",1,"Liberal Party of Ukraine",1,"Third Force Political Party",1,"Lazarenko Bloc",1,"Labor Ukraine Political Party",0,"All-Ukrainian Party New Power",0,"Electoral bloc of political parties FOR THE UNION",0,"Party of Patriotic Forces of Ukraine",0,"Electoral bloc Yevhen Marchuk - Unity",0,"Party of National and Economic Development of Ukraine",0,"Bloc of Non-Party Sun ",0,"All-Ukrainian Association Freedom",0,"Bloc Patriots of Ukraine",0,"Bloc of Boris Oliynyk and Mykhailo Syrota",0,"Political party Forward, Ukraine!",0,"Socio-ecological party Union. Chernobyl. Ukraine.","Party of Regions",90
"India","Ukraine",2006-03-26,"Legislative",75,35,33,2,NA,NA,10,"Party of Regions",10,"Yulia Tymoshenko Bloc",4,"Block OUR UKRAINE",4,"Socialist Party of Ukraine",2,"Lytvyn People's Bloc",2,"The opposition bloc is NOT YES!",1,"Communist Party of Ukraine",0,"All-Ukrainian Party of People's Trust",0,"Ukrainian People's Bloc of Kostenko and Ivy",0,"Ukrainian National Assembly",0,"Political party Party of ecological rescue ECO + 25%",0,"Ukrainian Green Planet Party",0,"NDP block",0,"Political Party of Ukraine Putin's Politics Party",0,"Viche Party",0,"Ukrainian Conservative Party",0,"People's Movement of Ukraine for Unity",0,"Ukrainian Party of Honor, Fight against Corruption and Organized Crime",0,"Yuri Karmazin's block",0,"All-Ukrainian Party New Power",0,"Renaissance Party",0,"Electoral bloc of political parties FOR THE UNION",0,"Peasant Party of Ukraine",0,"Civil bloc PORA-PRP",0,"Party of Patriotic Forces of Ukraine",0,"Electoral bloc Yevhen Marchuk - Unity",0,"Party of National and Economic Development of Ukraine",0,"Electoral bloc State - Labor Union ",0,"Bloc of Non-Party Sun ",0,"All-Ukrainian Association Freedom",0,"Social Christian Party",0,"Liberal Party of Ukraine",0,"European Capital Political Party",0,"Social Protection Party",0,"Bloc of Natalia Vitrenko People's Opposition",0,"Third Force Political Party",0,"Green Party of Ukraine",0,"Lazarenko Bloc",0,"Electoral bloc People's Power",0,"Bloc Patriots of Ukraine",0,"Bloc of Boris Oliynyk and Mykhailo Syrota",0,"Political party Forward, Ukraine!",0,"Socio-ecological party Union. Chernobyl. Ukraine.",0,"Party of Pensioners of Ukraine",0,"Labor Ukraine Political Party","Party of Regions",10
"Iraq","Ukraine",2006-03-26,"Legislative",80,70,65,4,NA,NA,20,"Party of Regions",19,"Block OUR UKRAINE",13,"Yulia Tymoshenko Bloc",3,"Lytvyn People's Bloc",2,"Yuri Karmazin's block",2,"Civil bloc PORA-PRP",2,"Socialist Party of Ukraine",1,"NDP block",1,"Communist Party of Ukraine",1,"Viche Party",1,"Party of Patriotic Forces of Ukraine",0,"All-Ukrainian Party of People's Trust",0,"Ukrainian People's Bloc of Kostenko and Ivy",0,"Ukrainian National Assembly",0,"Political party Party of ecological rescue ECO + 25%",0,"Ukrainian Green Planet Party",0,"Political Party of Ukraine Putin's Politics Party",0,"Ukrainian Conservative Party",0,"People's Movement of Ukraine for Unity",0,"Ukrainian Party of Honor, Fight against Corruption and Organized Crime",0,"All-Ukrainian Party New Power",0,"Renaissance Party",0,"Electoral bloc of political parties FOR THE UNION",0,"Peasant Party of Ukraine",0,"Electoral bloc Yevhen Marchuk - Unity",0,"Party of National and Economic Development of Ukraine",0,"Electoral bloc State - Labor Union ",0,"Bloc of Non-Party Sun ",0,"All-Ukrainian Association Freedom",0,"Social Christian Party",0,"Liberal Party of Ukraine",0,"European Capital Political Party",0,"Social Protection Party",0,"Bloc of Natalia Vitrenko People's Opposition",0,"Third Force Political Party",0,"Green Party of Ukraine",0,"Lazarenko Bloc",0,"Electoral bloc People's Power",0,"Bloc Patriots of Ukraine",0,"Bloc of Boris Oliynyk and Mykhailo Syrota",0,"Political party Forward, Ukraine!",0,"Socio-ecological party Union. Chernobyl. Ukraine.",0,"Party of Pensioners of Ukraine",0,"The opposition bloc is NOT YES!",0,"Labor Ukraine Political Party","Party of Regions",20
"Kazakhstan","Ukraine",2006-03-26,"Legislative",642,138,133,3,NA,NA,49,"Party of Regions",32,"Block OUR UKRAINE",18,"Yulia Tymoshenko Bloc",7,"Socialist Party of Ukraine",5,"Communist Party of Ukraine",3,"Ukrainian People's Bloc of Kostenko and Ivy",3,"Party of Pensioners of Ukraine",2,"Bloc of Natalia Vitrenko People's Opposition",2,"Green Party of Ukraine",1,"Ukrainian Green Planet Party",1,"Political Party of Ukraine Putin's Politics Party",1,"Peasant Party of Ukraine",1,"Civil bloc PORA-PRP",1,"Party of Patriotic Forces of Ukraine",1,"Electoral bloc Yevhen Marchuk - Unity",1,"Party of National and Economic Development of Ukraine",1,"All-Ukrainian Association Freedom",1,"Lytvyn People's Bloc",1,"Political party Forward, Ukraine!",1,"The opposition bloc is NOT YES!",1,"Labor Ukraine Political Party",0,"All-Ukrainian Party of People's Trust",0,"Ukrainian National Assembly",0,"Political party Party of ecological rescue ECO + 25%",0,"NDP block",0,"Viche Party",0,"Ukrainian Conservative Party",0,"People's Movement of Ukraine for Unity",0,"Ukrainian Party of Honor, Fight against Corruption and Organized Crime",0,"Yuri Karmazin's block",0,"All-Ukrainian Party New Power",0,"Renaissance Party",0,"Electoral bloc of political parties FOR THE UNION",0,"Electoral bloc State - Labor Union ",0,"Bloc of Non-Party Sun ",0,"Social Christian Party",0,"Liberal Party of Ukraine",0,"European Capital Political Party",0,"Social Protection Party",0,"Third Force Political Party",0,"Lazarenko Bloc",0,"Electoral bloc People's Power",0,"Bloc Patriots of Ukraine",0,"Bloc of Boris Oliynyk and Mykhailo Syrota",0,"Socio-ecological party Union. Chernobyl. Ukraine.","Party of Regions",49
"Kenya","Ukraine",2006-03-26,"Legislative",39,22,21,1,NA,NA,6,"Block OUR UKRAINE",3,"Party of Regions",2,"People's Movement of Ukraine for Unity",2,"Civil bloc PORA-PRP",2,"Party of Patriotic Forces of Ukraine",1,"Communist Party of Ukraine",1,"Ukrainian Conservative Party",1,"Social Christian Party",1,"Yulia Tymoshenko Bloc",1,"Lytvyn People's Bloc",1,"Bloc of Boris Oliynyk and Mykhailo Syrota",0,"All-Ukrainian Party of People's Trust",0,"Ukrainian People's Bloc of Kostenko and Ivy",0,"Ukrainian National Assembly",0,"Political party Party of ecological rescue ECO + 25%",0,"Ukrainian Green Planet Party",0,"NDP block",0,"Political Party of Ukraine Putin's Politics Party",0,"Viche Party",0,"Ukrainian Party of Honor, Fight against Corruption and Organized Crime",0,"Yuri Karmazin's block",0,"All-Ukrainian Party New Power",0,"Renaissance Party",0,"Electoral bloc of political parties FOR THE UNION",0,"Peasant Party of Ukraine",0,"Electoral bloc Yevhen Marchuk - Unity",0,"Party of National and Economic Development of Ukraine",0,"Electoral bloc State - Labor Union ",0,"Bloc of Non-Party Sun ",0,"All-Ukrainian Association Freedom",0,"Socialist Party of Ukraine",0,"Liberal Party of Ukraine",0,"European Capital Political Party",0,"Social Protection Party",0,"Bloc of Natalia Vitrenko People's Opposition",0,"Third Force Political Party",0,"Green Party of Ukraine",0,"Lazarenko Bloc",0,"Electoral bloc People's Power",0,"Bloc Patriots of Ukraine",0,"Political party Forward, Ukraine!",0,"Socio-ecological party Union. Chernobyl. Ukraine.",0,"Party of Pensioners of Ukraine",0,"The opposition bloc is NOT YES!",0,"Labor Ukraine Political Party","Party of Regions",3
"South Korea","Ukraine",2006-03-26,"Legislative",95,52,49,3,NA,NA,16,"Block OUR UKRAINE",16,"Yulia Tymoshenko Bloc",8,"Party of Regions",2,"Communist Party of Ukraine",2,"Socialist Party of Ukraine",1,"Viche Party",1,"Ukrainian Conservative Party",1,"Electoral bloc of political parties FOR THE UNION",1,"Civil bloc PORA-PRP",1,"Party of National and Economic Development of Ukraine",0,"All-Ukrainian Party of People's Trust",0,"Ukrainian People's Bloc of Kostenko and Ivy",0,"Ukrainian National Assembly",0,"Political party Party of ecological rescue ECO + 25%",0,"Ukrainian Green Planet Party",0,"NDP block",0,"Political Party of Ukraine Putin's Politics Party",0,"People's Movement of Ukraine for Unity",0,"Ukrainian Party of Honor, Fight against Corruption and Organized Crime",0,"Yuri Karmazin's block",0,"All-Ukrainian Party New Power",0,"Renaissance Party",0,"Peasant Party of Ukraine",0,"Party of Patriotic Forces of Ukraine",0,"Electoral bloc Yevhen Marchuk - Unity",0,"Electoral bloc State - Labor Union ",0,"Bloc of Non-Party Sun ",0,"All-Ukrainian Association Freedom",0,"Social Christian Party",0,"Liberal Party of Ukraine",0,"European Capital Political Party",0,"Social Protection Party",0,"Bloc of Natalia Vitrenko People's Opposition",0,"Third Force Political Party",0,"Green Party of Ukraine",0,"Lazarenko Bloc",0,"Electoral bloc People's Power",0,"Bloc Patriots of Ukraine",0,"Lytvyn People's Bloc",0,"Bloc of Boris Oliynyk and Mykhailo Syrota",0,"Political party Forward, Ukraine!",0,"Socio-ecological party Union. Chernobyl. Ukraine.",0,"Party of Pensioners of Ukraine",0,"The opposition bloc is NOT YES!",0,"Labor Ukraine Political Party","Party of Regions",8
